Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Demo Premium T-Shirt,demo-premium-tshirt,"This is a high-quality demo t-shirt perfect for showcasing your store's product pages. Features comfortable fit, durable fabric, and premium materials available in multiple colors, sizes, and materials.",Spain Store,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"demo, clothing, tshirt, premium",TRUE,active,DEMO-S-RED-COT,,Size,S,Color,Red,Material,Cotton,24.99,34.99,12.00,TRUE,,,,,,shopify,25,deny,200,g,TRUE,manual,https://placehold.co/600x600/dc2626/white?text=Red+S+Cotton,1,Demo T-Shirt Red,https://placehold.co/600x600/dc2626/white?text=Red+S+Cotton,FALSE,Demo Premium T-Shirt - Red Cotton,High-quality demo t-shirt in red cotton - Size S,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,DEMO001,T-Shirts,Demo Products,new,FALSE,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-S-BLU-POL,,,S,,Blue,,Polyester,26.99,36.99,13.00,TRUE,,,,,,shopify,30,deny,180,g,TRUE,manual,https://placehold.co/600x600/2563eb/white?text=Blue+S+Polyester,2,Demo T-Shirt Blue,https://placehold.co/600x600/2563eb/white?text=Blue+S+Polyester,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-S-BLK-COT,,,S,,Black,,Cotton,25.99,35.99,12.50,TRUE,,,,,,shopify,28,deny,200,g,TRUE,manual,https://placehold.co/600x600/1f2937/white?text=Black+S+Cotton,3,Demo T-Shirt Black,https://placehold.co/600x600/1f2937/white?text=Black+S+Cotton,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-M-RED-COT,,,M,,Red,,Cotton,27.99,37.99,13.50,TRUE,,,,,,shopify,35,deny,220,g,TRUE,manual,,,https://placehold.co/600x600/dc2626/white?text=Red+M+Cotton,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-M-BLU-POL,,,M,,Blue,,Polyester,29.99,39.99,14.00,TRUE,,,,,,shopify,40,deny,200,g,TRUE,manual,,,https://placehold.co/600x600/2563eb/white?text=Blue+M+Polyester,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-M-BLK-COT,,,M,,Black,,Cotton,28.99,38.99,14.50,TRUE,,,,,,shopify,38,deny,220,g,TRUE,manual,,,https://placehold.co/600x600/1f2937/white?text=Black+M+Cotton,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-M-RED-POL,,,M,,Red,,Polyester,30.99,40.99,15.00,TRUE,,,,,,shopify,32,deny,200,g,TRUE,manual,,,https://placehold.co/600x600/dc2626/white?text=Red+M+Polyester,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-M-BLU-COT,,,M,,Blue,,Cotton,29.49,39.49,14.25,TRUE,,,,,,shopify,34,deny,220,g,TRUE,manual,,,https://placehold.co/600x600/2563eb/white?text=Blue+M+Cotton,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-L-RED-COT,,,L,,Red,,Cotton,31.99,41.99,15.50,TRUE,,,,,,shopify,30,deny,240,g,TRUE,manual,,,https://placehold.co/600x600/dc2626/white?text=Red+L+Cotton,,,,,,,,,,,,,,,,,
,demo-premium-tshirt,,,,,,,,DEMO-L-BLU-POL,,,L,,Blue,,Polyester,33.99,43.99,16.00,TRUE,,,,,,shopify,35,deny,220,g,TRUE,manual,,,https://placehold.co/600x600/2563eb/white?text=Blue+L+Polyester,,,,,,,,,,,,,,,,,
